_______________________________Simulator Results______________________________
Date:                        Wed Jun 03 20:25:02 CEST 2020

____________________________Simulator Configuration___________________________
Simulation Type:             Terminating
Project Name:                BankRobbery
Study Name:                  bankStudy
Random Number Generator:     Mersenne Twister
Random Number Seed:          31415
Maximum Batches:             1000
Minimum Batches:             1000
Data Reporting Frequency:    1000
Display Update Frequency:    1000
BuildType:                   Optimize
Execution Architecture:      64-bit
Runname:                     CyberAttack
Output File:                 CyberAttack_output.txt
Results File:                CyberAttack_results
Jackknife Variance:          On
Processors Per Experiment:   1
Maximize Processor Usage:    false
Processors Selected for Simulation: 
        student-VirtualBox   amd64

_________________________________Experiment 1_________________________________
Start Time:                  Wed Jun 03 20:11:27 CEST 2020
Finish Time:                 Wed Jun 03 20:25:02 CEST 2020
Elapsed Running Time:        815.425
Total CPU Time:              812.549684
Batches Completed:           1000
Experiment Name:             Experiment 1
Global Variable Settings:    
        short                breakerSkill             1000                   
        short                cyberVulnerabilitiesKnowledge  1                      
        short                hackerSkill              1000                   
        short                secVulnerabilitiesKnowledge  0                      
        short                securityComponentsAccess  1                      
        short                socialEngineerSkill      1000                   
        short                stealthSkill             1000                   


_________________________________Mean Results_________________________________
Name                  Time               Mean                     Confidence Interval
control_cameras       37500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       38000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       38500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       39000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       39500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       40000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       40500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       41000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       41500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       42000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       42500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       43000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       43500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       44000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       44500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       45000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       45500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       46000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       46500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       47000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       47500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       48000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       48500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       49000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       49500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       50000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       50500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       51000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       51500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       52000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       52500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       53000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       53500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       54000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       54500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       55000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       55500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       56000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       56500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       57000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       57500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       58000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       58500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       59000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       59500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       60000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       60500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       61000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       61500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       62000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       62500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       63000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       63500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       64000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       64500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       65000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       65500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       66000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       66500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       67000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       67500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       68000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       68500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       69000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       69500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       70000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       70500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       71000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       71500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       72000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       72500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       73000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       73500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       74000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       74500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       75000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       75500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       76000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       76500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       77000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       77500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       78000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       78500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       79000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       79500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       80000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       80500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       81000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       81500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       82000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       82500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       83000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       83500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       84000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       84500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       85000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       85500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       86000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       86500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       87000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       87500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       88000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       88500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       89000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       89500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       90000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       90500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       91000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       91500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       92000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       92500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       93000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       93500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       94000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       94500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       95000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       95500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       96000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       96500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       97000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       97500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       98000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       98500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       99000.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       99500.0           0.0000000000E00   +/-   0.0000000000E00 
control_cameras       100000.0          0.0000000000E00   +/-   0.0000000000E00 
control_alarms        0.0               0.0000000000E00   +/-   0.0000000000E00 
control_alarms        500.0             0.0000000000E00   +/-   0.0000000000E00 
control_alarms        1000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        1500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        2000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        2500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        3000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        3500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        4000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        4500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        5000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        5500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        6000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        6500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        7000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        7500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        8000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        8500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        9000.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        9500.0            0.0000000000E00   +/-   0.0000000000E00 
control_alarms        10000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        10500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        11000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        11500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        12000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        12500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        13000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        13500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        14000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        14500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        15000.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        15500.0           0.0000000000E00   +/-   0.0000000000E00 
control_alarms        16000.0           0.0000000000E00   +/-   0.0000000000E00 
